Diameter_um,TerminalVelocity_m_s
407,1.618377522894922
408,1.6227188754647284
409,1.627059367517658
410,1.6313990013770194
411,1.6357377793358625
412,1.6400757036568652
413,1.6444127765721988
414,1.6487490002834437
415,1.6530843769614785
416,1.6574189087463946
417,1.6617525977473986
418,1.6660854460427228
419,1.6704174556795597
420,1.6747486286739721
421,1.6790789670108293
422,1.6834084726437462
423,1.6877371474950087
424,1.6920649934555323
425,1.696392012384794
426,1.7007182061107933
427,1.705043576430002
428,1.7093681251073332
429,1.7136918538760955
430,1.7180147644379562
431,1.72233685846293
432,1.7266581375893324
433,1.7309786034237746
434,1.7352982575411366
435,1.7396171014845505
436,1.7439351367654012
437,1.7482523648633066
438,1.7525687872261073
439,1.7568844052698829
440,1.7611992203789464
441,1.765513233905827
442,1.769826447171327
443,1.774138861464468
444,1.778450478042555
445,1.7827612981311671
446,1.7870713229241812
447,1.7913805535837934
448,1.7956889912405511
449,1.7999966369933489
450,1.8043034919094945
451,1.808609557024717
452,1.8129148333432068
453,1.817219321837639
454,1.821523023449234
455,1.8258259390877742
456,1.83012806963166
457,1.8344294159279435
458,1.8387299787923814
459,1.843029759009478
460,1.8473287573325436
461,1.8516269744837244
462,1.8559244111540876
463,1.8602210680036415
464,1.8645169456614161
465,1.8688120447255288
466,1.8731063657631974
467,1.8773999093108702
468,1.8816926758742296
469,1.8859846659282848
470,1.8902758799174353
471,1.8945663182555428
472,1.8988559813259864
473,1.9031448694817348
474,1.9074329830454313
475,1.9117203223094617
476,1.9160068875360192
477,1.9202926789571795
478,1.924577696775001
479,1.9288619411615708
480,1.933145412259105
481,1.9374281101800161
482,1.9417100350070007
483,1.9459911867931328
484,1.9502715655619154
485,1.9545511713073913
486,1.9588300039942295
487,1.963108063557788
488,1.9673853499042155
489,1.971661862910556
490,1.9759376024247917
491,1.9802125682659835
492,1.9844867602243268
493,1.9887601780612483
494,1.9930328215095179
495,1.9973046902733145
496,2.0015757840283275
497,2.0058461024218572
498,2.0101156450729114
499,2.014384411572287
500,2.018652401482676
501,2.0229196143387496
502,2.0271860496472702
503,2.031451706887188
504,2.0357165855097272
505,2.0399806849384894
506,2.044244004569554
507,2.048506543771574
508,2.0527683018858855
509,2.0570292782265973
510,2.061289472080692
511,2.0655488827081347
512,2.0698075093419637
